Nucleus_Label,area,centroid-0,centroid-1,intensity_mean,image_name,patient_id,sample_id,type,n_target,n_centromere,target_entropy
2,74802.0,243.752265982193,502.0535413491618,0.5839206354448949,Colo320_DM_0005,Colo320_DM_0005,ecDNA,ecDNA,25,0.0,4.73601883367782
3,51100.0,455.4187279843444,661.1565753424658,0.5736119872606577,Colo320_DM_0005,Colo320_DM_0005,ecDNA,ecDNA,19,4.0,3.6680108996057164
4,45210.0,470.621698739217,1918.7721742977217,0.6727749803748087,Colo320_DM_0005,Colo320_DM_0005,ecDNA,ecDNA,19,4.0,3.4758097719573673
5,73785.0,532.1580131463035,1227.16827268415,0.5655013041334985,Colo320_DM_0005,Colo320_DM_0005,ecDNA,ecDNA,34,5.0,4.597586599572947
6,30858.0,558.6428478838551,464.9093914057943,0.45215223687504685,Colo320_DM_0005,Colo320_DM_0005,ecDNA,ecDNA,9,1.0,2.8851894457589595
7,19332.0,675.4397372232568,456.27162218084004,0.754533984088152,Colo320_DM_0005,Colo320_DM_0005,ecDNA,ecDNA,7,1.0,2.7168554004131558
8,103515.0,1122.9420953485003,466.81753369076944,0.6158586848737465,Colo320_DM_0005,Colo320_DM_0005,ecDNA,ecDNA,27,3.0,4.470831224547336
9,108258.0,1300.2670010530398,1518.0422509191008,0.46760299198103006,Colo320_DM_0005,Colo320_DM_0005,ecDNA,ecDNA,55,2.0,4.984882460515599
10,69618.0,1411.384210979919,1234.968829900313,0.4506513697437952,Colo320_DM_0005,Colo320_DM_0005,ecDNA,ecDNA,19,2.0,4.093836328605487
11,75040.0,1464.9099680170575,968.8522654584222,0.44938547807182583,Colo320_DM_0005,Colo320_DM_0005,ecDNA,ecDNA,34,4.0,4.317789151761877
12,124559.0,1659.2775150731782,2025.282572917252,0.5119072165029597,Colo320_DM_0005,Colo320_DM_0005,ecDNA,ecDNA,21,3.0,4.301248390773773
13,14796.0,1534.8444849959449,1549.7919032170857,0.8898239587805926,Colo320_DM_0005,Colo320_DM_0005,ecDNA,ecDNA,3,1.0,2.735991352921431
14,80646.0,1701.6547131909829,1212.3763484859758,0.473980548249357,Colo320_DM_0005,Colo320_DM_0005,ecDNA,ecDNA,15,3.0,3.1677074063383612
1,59426.0,312.4531686467203,1437.1606367583213,0.5049825025422952,Colo320_HSR_0004,Colo320_HSR_0004,HSR,HSR,7,5.0,2.7798178037900754
2,90739.0,512.329571628517,1196.4695445177929,0.4795110907409724,Colo320_HSR_0004,Colo320_HSR_0004,HSR,HSR,12,5.0,3.3132944284809867
4,50379.0,683.4588419778082,1632.8138311598086,0.5370145279176003,Colo320_HSR_0004,Colo320_HSR_0004,HSR,HSR,6,2.0,2.4856522100223843
5,66427.0,768.4119258735153,1860.5171391151189,0.5106140693439976,Colo320_HSR_0004,Colo320_HSR_0004,HSR,HSR,11,2.0,2.7331838034463387
6,63158.0,760.0390449349251,190.09357484404194,0.49602192819874713,Colo320_HSR_0004,Colo320_HSR_0004,HSR,HSR,4,3.0,2.2297183007091297
7,30357.0,999.0572520341273,363.5638567710907,0.6873363833130841,Colo320_HSR_0004,Colo320_HSR_0004,HSR,HSR,4,1.0,1.8248253953199136
8,56298.0,1244.930459341362,1047.833937262425,0.6426077198437725,Colo320_HSR_0004,Colo320_HSR_0004,HSR,HSR,9,2.0,2.657170163249472
10,86712.0,1344.385990405019,1844.8783674693238,0.49301094088341124,Colo320_HSR_0004,Colo320_HSR_0004,HSR,HSR,12,5.0,3.4705726462168522
11,69670.0,1415.1317927371897,377.4215731304722,0.47519127989935744,Colo320_HSR_0004,Colo320_HSR_0004,HSR,HSR,5,2.0,3.072438747070956
12,51042.0,1447.874377963246,721.7714431252693,0.48673610582903276,Colo320_HSR_0004,Colo320_HSR_0004,HSR,HSR,9,4.0,2.688947936488919
13,69069.0,1607.2628675672154,549.8139107269542,0.46260014495308616,Colo320_HSR_0004,Colo320_HSR_0004,HSR,HSR,6,3.0,2.2066463618308387
14,71060.0,1644.5765831691529,1539.9466929355474,0.4878929708669283,Colo320_HSR_0004,Colo320_HSR_0004,HSR,HSR,10,2.0,2.59328726684898
15,55178.0,1632.6581789843779,1234.0279640436406,0.6140553317996162,Colo320_HSR_0004,Colo320_HSR_0004,HSR,HSR,5,3.0,2.432673414027191
